Model,Accuracy,Macro_F1,Candidate_Precision,Candidate_Recall,Candidate_F1,Confirmed_Precision,Confirmed_Recall,Confirmed_F1,False_Positive_Precision,False_Positive_Recall,False_Positive_F1,Seed
Random Forest,0.7809722948248824,0.7421241073686055,0.5786516853932584,0.5202020202020202,0.5478723404255319,0.831858407079646,0.8561020036429873,0.8438061041292639,0.8245967741935484,0.8450413223140496,0.8346938775510204,42
XGBoost,0.777835859905907,0.7378404484094587,0.5650969529085873,0.5151515151515151,0.5389696169088507,0.8280141843971631,0.8506375227686703,0.8391734052111411,0.8269230769230769,0.84400826446281,0.8353783231083844,42
KAN,0.7564035546262415,0.7108826570079742,0.5411764705882353,0.46464646464646464,0.5,0.7910189982728842,0.8342440801457195,0.8120567375886525,0.8098591549295775,0.8316115702479339,0.8205912334352702,42
Random Forest,0.759539989545217,0.7202881381325937,0.5483870967741935,0.5151515151515151,0.53125,0.7950530035335689,0.819672131147541,0.8071748878923768,0.8194871794871795,0.8254132231404959,0.8224395265054041,7
XGBoost,0.7799268165185572,0.7377084322403089,0.5674157303370787,0.51010101010101,0.5372340425531915,0.8212389380530973,0.8451730418943534,0.8330341113105925,0.8326612903225806,0.8533057851239669,0.8428571428571429,7
KAN,0.7679038159958181,0.7233883675859015,0.5498575498575499,0.48737373737373735,0.5167336010709505,0.8096085409252669,0.8287795992714025,0.819081908190819,0.821,0.8481404958677686,0.834349593495935,7
Random Forest,0.7699947726084684,0.7237311282412856,0.5772870662460567,0.4621212121212121,0.5133239831697054,0.8093587521663779,0.8506375227686703,0.8294849023090587,0.8076545632973503,0.8502066115702479,0.828384499245093,21
XGBoost,0.778881338212232,0.7345747247912584,0.5838323353293413,0.49242424242424243,0.5342465753424658,0.8065630397236615,0.8506375227686703,0.8280141843971631,0.828,0.8553719008264463,0.8414634146341463,21
KAN,0.7564035546262415,0.7056231897491987,0.5294117647058824,0.4318181818181818,0.4756606397774687,0.8021015761821366,0.8342440801457195,0.8178571428571428,0.802747791952895,0.8450413223140496,0.8233517866129844,21
Random Forest,0.7605854678515421,0.7193765422265578,0.56047197640118,0.4797979797979798,0.5170068027210885,0.7891268533772653,0.8724954462659381,0.828719723183391,0.81282316442606,0.8119834710743802,0.8124031007751937,100
XGBoost,0.781495033978045,0.7397289684720215,0.5969696969696969,0.49747474747474746,0.5426997245179064,0.8108108108108109,0.8743169398907104,0.84136722173532,0.8254288597376388,0.8450413223140496,0.8351199591628383,100
KAN,0.759539989545217,0.7153021888950443,0.5276967930029155,0.45707070707070707,0.48985115020297704,0.8181818181818182,0.8688524590163934,0.842756183745583,0.8054711246200608,0.8212809917355371,0.8132992327365729,100
Random Forest,0.781495033978045,0.7398693902257764,0.6,0.5,0.5454545454545454,0.8144329896907216,0.8633879781420765,0.8381962864721486,0.8221778221778222,0.8502066115702479,0.8359573387506349,123
XGBoost,0.7898588604286461,0.7468746122262847,0.6226415094339622,0.5,0.5546218487394957,0.8161512027491409,0.8652094717668488,0.8399646330680812,0.8272458045409674,0.8657024793388429,0.8460373548712772,123
KAN,0.7757449032932566,0.7327221425108749,0.5668604651162791,0.49242424242424243,0.527027027027027,0.8091993185689949,0.8652094717668488,0.8362676056338029,0.8289205702647657,0.8409090909090909,0.8348717948717949,123
